fraction,n_activation_rows,unit_count,median_activation_energy_relative_std,p90_activation_energy_relative_std,mean_activation_energy_relative_std,median_combined_relative_std,p90_combined_relative_std,mean_combined_relative_std
0.75,39,90,0.00042157127684110986,0.033271330748935145,0.010303220317968048,0.09204070201820204,0.1060756318816245,0.0928614189934222
0.75,40,75,0.0004983113734537729,0.034977245337046534,0.012175409965914753,0.08929722173468473,0.10649021375050087,0.09218849906953011
0.75,41,114,0.0005758805675137621,0.029223834590941633,0.010000913594618143,0.0905543434171418,0.10627016547189498,0.09167271906809071
0.75,42,123,0.00047486579644794345,0.03003842451282204,0.009504691954874835,0.0895100825556462,0.10658852124807185,0.09058727679484832
0.75,43,87,0.0006991739860465934,0.03243905797429763,0.008866803910462085,0.08623100701082577,0.10039513450162417,0.0869428918002069
0.75,44,87,0.0005484764169353675,0.0394595417875285,0.010873335782320172,0.09055778935564043,0.10386623707445093,0.09028362798897287
0.75,45,120,0.00046865687388603897,0.03837345085554219,0.010083288822603238,0.08771191518911511,0.10409309954283966,0.08846224930024978
0.75,46,84,0.0005348221484965884,0.03221872759178042,0.010189525145176135,0.08864727430951243,0.09860327062819735,0.08724080972187427
0.75,47,93,0.0006238606061185176,0.03587358010306272,0.011830478676358192,0.08491454568449157,0.09982275775711132,0.08486166222541189
0.75,48,96,0.00041326596306954003,0.029698429054293915,0.009087209444750033,0.0838918389786438,0.09668428594145044,0.08425410989014563
0.75,49,132,0.0004900771536182867,0.03393831693178362,0.009319737088132156,0.08342566228039112,0.09605555282153867,0.0837876533118894
0.75,50,81,0.0006694453969416791,0.03292383329806744,0.009491886231667492,0.08410011371073983,0.09431005950766645,0.08322315440773859
0.75,51,87,0.00043037808320525495,0.030744428547698807,0.009269726962485186,0.08177415536075738,0.0989262851674526,0.08351815546069075
0.75,52,81,0.00044506311309925727,0.03164633938161506,0.00971780228741015,0.07980338688444609,0.09482323485176804,0.08163740504321619
0.75,53,84,0.0004331059782552185,0.030512486763221148,0.009256656699837072,0.0808096962881438,0.09697173194332778,0.08207610553267249
0.75,54,63,0.0003769732923938525,0.031195931079438424,0.009870906318586729,0.0788604822304044,0.09034653009841384,0.07935125532502188
0.75,55,99,0.00047749647594118305,0.029427882492315746,0.00889454932936933,0.07911953172263422,0.09183388447552845,0.07934290569100991
0.75,56,66,0.0005276166788067049,0.023614665229239738,0.007727606986279388,0.07824560141720993,0.09314864653302178,0.07884642394945995
0.75,57,51,0.00043375356080954625,0.02101950578647188,0.006495796693132885,0.07558705837270459,0.084244139806078,0.07540758350462157
0.75,58,66,0.00042575855554195915,0.02675800467005854,0.007950777203703815,0.07450140907897414,0.08548270939372563,0.07536179769164568
0.75,59,66,0.00047580742067850567,0.03587411122653445,0.010043905388416407,0.07711913696141463,0.09194057169218864,0.07791656962006281
0.75,60,99,0.0004197410333937767,0.029325485945540943,0.007845952907118566,0.07477599809153666,0.0867603491929132,0.07438921629729248
0.75,61,57,0.0004732504024484212,0.02588520456562246,0.008246334598671322,0.07166671424313348,0.08518651576961543,0.0730235444883331
0.75,62,72,0.0004280615343204234,0.03018338539357344,0.007939443111850924,0.07427098208295921,0.08841674635354695,0.07593344412166281
0.75,63,51,0.0003773714066923632,0.03395449440661895,0.00858901198344473,0.07554341860847866,0.08702911571699955,0.07480637176601435
0.75,64,8896,0.000362668180465038,0.027633385865525814,0.00797962456966396,0.04330635429458789,0.0676955966710788,0.04194894227493223
